Gene ID	Gene Name	'relapsing-remitting multiple sclerosis' vs 'normal' .foldChange	'relapsing-remitting multiple sclerosis' vs 'normal'.pValue
ENSG00000112406	HECA	-0.6	0.126770959617586
ENSG00000112419	PHACTR2	-0.5	0.133125880632276
ENSG00000112425	EPM2A	-0.4	0.116211614033305
ENSG00000112473	SLC39A7	0.4	0.0532806320218611
ENSG00000112486	CCR6	-0.2	0.67183531586688
ENSG00000112511	PHF1	0.3	0.344703271302457
ENSG00000112514	CUTA	0.6	0.105829864522529
ENSG00000112531	QKI	-0.4	0.224833389656721
ENSG00000112561	TFEB	1.0	0.0105634510899563
ENSG00000112576	CCND3	0.5	0.0575279750254264
ENSG00000112584	FAM120B	0.1	0.766602808658994
ENSG00000112592	TBP	-0.2	0.437350142301546
ENSG00000112599	GUCA1B	0.2	0.661402009413957
ENSG00000112619	PRPH2	0.2	0.798774048497372
ENSG00000112624	BICRAL	-0.5	0.160057482631043
ENSG00000112640	PPP2R5D	-0.1	0.620453614835856
ENSG00000112651	MRPL2	0.5	0.130941029986352
ENSG00000112655	PTK7	-0.3	0.556523181536811
ENSG00000112658	SRF	0.2	0.265625161272252
ENSG00000112659	CUL9	0.1	0.715961223449048
ENSG00000112667	DNPH1	0.8	0.103475995908343
ENSG00000112679	DUSP22	0.1	0.43308184399939
ENSG00000112685	EXOC2	-0.2	0.508024132786127
ENSG00000112695	COX7A2	1.3	0.00414503541913174
ENSG00000112697	TMEM30A	-0.5	0.213472693901962
ENSG00000112699	GMDS	0.1	0.708911426145901
ENSG00000112701	SENP6	-0.7	0.0885097901567503
ENSG00000112715	VEGFA	-0.4	0.344096742741365
ENSG00000112739	PRPF4B	-0.5	0.111569711123648
ENSG00000112759	SLC29A1	0.2	0.673134704660233
ENSG00000112763	BTN2A1	-0.1	0.679147322342881
ENSG00000112782	CLIC5	-0.5	0.171793754014888
ENSG00000112787	FBRSL1	0.4	0.265531660673377
ENSG00000112796	ENPP5	-0.3	0.525694658795152
ENSG00000112799	LY86	0.8	0.0184245282767441
ENSG00000112812	PRSS16	0.5	0.3198559347634
ENSG00000112851	ERBIN	-0.6	0.139904989386781
ENSG00000112877	CEP72	-0.4	0.36652426179185
ENSG00000112893	MAN2A1	-0.5	0.212234651615972
ENSG00000112941	TENT4A	-0.5	0.0495332776889248
ENSG00000112972	HMGCS1	-0.6	0.123531458507453
ENSG00000112977	DAP	0.4	0.0418079331654213
ENSG00000112992	NNT	-0.4	0.304531717003294
ENSG00000112996	MRPS30	-0.2	0.241500428614641
ENSG00000113013	HSPA9	-0.5	0.0762319947582658
ENSG00000113068	PFDN1	0.3	0.171245843616872
ENSG00000113070	HBEGF	0.1	0.874309359567914
ENSG00000113088	GZMK	0.1	0.785501013388464
ENSG00000113108	APBB3	0.4	0.133343357395747
ENSG00000113119	TMCO6	0.3	0.16083462502011
ENSG00000113140	SPARC	0.5	0.116627910554293
ENSG00000113141	IK	0.1	0.790411468929309
ENSG00000113161	HMGCR	-0.2	0.551458326141721
ENSG00000113163	CERT1	-0.5	0.153272253344175
ENSG00000113194	FAF2	-0.2	0.515093978475428
ENSG00000113231	PDE8B	-0.5	0.378320142274402
ENSG00000113240	CLK4	-0.6	0.143013382811841
ENSG00000113263	ITK	-0.7	0.0428295075267883
ENSG00000113269	RNF130	0.5	0.0156623161193525
ENSG00000113272	THG1L	0.2	0.400622049537357
ENSG00000113273	ARSB	-0.1	0.840705483354707
ENSG00000113282	CLINT1	-0.7	0.074017926017898
ENSG00000113296	THBS4	-0.2	0.531490223268166
ENSG00000113300	CNOT6	-0.6	0.11942151377912
ENSG00000113303	BTNL8	1.0	0.0202300471781063
ENSG00000113312	TTC1	0.7	0.0245606951477401
ENSG00000113318	MSH3	-0.3	0.383257770980961
ENSG00000113319	RASGRF2	-0.9	0.0142827075536342
ENSG00000113328	CCNG1	-0.3	0.311829101848965
ENSG00000113356	POLR3G	-0.1	0.853091853361137
ENSG00000113360	DROSHA	-0.6	0.0501664083543358
ENSG00000113368	LMNB1	0.1	0.708226724130787
ENSG00000113369	ARRDC3	-0.1	0.869660759028302
ENSG00000113384	GOLPH3	-0.5	0.130872158304153
ENSG00000113387	SUB1	-0.1	0.863918461223079
ENSG00000113391	FAM172A	-0.4	0.287923343126746
ENSG00000113407	TARS1	-0.2	0.680964306070949
ENSG00000113441	LNPEP	-0.5	0.146648055295566
ENSG00000113448	PDE4D	-0.4	0.23480485988664
ENSG00000113456	RAD1	-0.4	0.0940630669428762
ENSG00000113460	BRIX1	-0.1	0.754393899375493
ENSG00000113494	PRLR	-0.3	0.521746920542587
ENSG00000113522	RAD50	0.4	0.479144131487561
ENSG00000113532	ST8SIA4	-0.2	0.5624234060002
ENSG00000113552	GNPDA1	-0.2	0.45964321212075
ENSG00000113555	PCDH12	0.1	0.642242517345329
ENSG00000113558	SKP1	0.3	0.0759552851442765
ENSG00000113569	NUP155	-0.3	0.324087147987763
ENSG00000113575	PPP2CA	0.2	0.207286233636054
ENSG00000113580	NR3C1	-0.6	0.0875899796420396
ENSG00000113583	C5orf15	-0.5	0.14837435640528
ENSG00000113593	PPWD1	-0.6	0.169188195606867
ENSG00000113595	TRIM23	-0.7	0.111957807254479
ENSG00000113597	TRAPPC13	-0.6	0.146894106000712
ENSG00000113615	SEC24A	-0.5	0.194479906805495
ENSG00000113638	TTC33	-0.6	0.15468993220538
ENSG00000113643	RARS1	0.1	0.648040643584248
ENSG00000113645	WWC1	-0.4	0.464518369815214
ENSG00000113649	TCERG1	-0.7	0.0461060966485545
ENSG00000113658	SMAD5	-0.5	0.273511714513049
ENSG00000113712	CSNK1A1	-0.4	0.221689779238553
ENSG00000113716	HMGXB3	-0.1	0.681847880292446
ENSG00000113719	ERGIC1	0.5	0.130812094250492
ENSG00000113721	PDGFRB	-0.1	0.809107167769794
ENSG00000113732	ATP6V0E1	1.2	4.0751836760767E-4
ENSG00000113734	BNIP1	0.3	0.474972315794059
ENSG00000113742	CPEB4	-0.7	0.0736929366227223
ENSG00000113749	HRH2	0.8	0.0186716703769907
ENSG00000113758	DBN1	0.5	0.198155781124638
ENSG00000113761	ZNF346	0.4	0.0729514418263967
ENSG00000113763	UNC5A	0.6	0.212220152935006
ENSG00000113790	EHHADH	-0.6	0.268061386063649
ENSG00000113810	SMC4	-0.7	0.118064881419577
ENSG00000113811	SELENOK	0.6	0.072745245938035
ENSG00000113812	ACTR8	-0.3	0.147662492759003
ENSG00000113838	TBCCD1	-0.3	0.283088080458065
ENSG00000113845	TIMMDC1	0.2	0.398071662229863
ENSG00000113851	CRBN	-0.6	0.0724098614307526
ENSG00000113916	BCL6	-0.2	0.620405481781428
ENSG00000113924	HGD	0.5	0.248299661559393
ENSG00000113966	ARL6	-0.5	0.354072890207295
ENSG00000113971	NPHP3	-0.6	0.0537059765234957
ENSG00000114013	CD86	0.6	0.0420812241621498
ENSG00000114021	NIT2	-0.1	0.781876225508173
ENSG00000114023	FAM162A	0.3	0.380039946768749
ENSG00000114026	OGG1	0.1	0.564028126052323
ENSG00000114030	KPNA1	-0.1	0.708949530507688
ENSG00000114054	PCCB	0.3	0.141547393186513
ENSG00000114062	UBE3A	-0.7	0.0999366560561077
ENSG00000114098	ARMC8	-0.2	0.545151317127241
ENSG00000114107	CEP70	-0.4	0.378754195805297
ENSG00000114120	SLC25A36	-0.8	0.037765392202659
ENSG00000114125	RNF7	0.5	0.026203850325479
ENSG00000114126	TFDP2	-0.4	0.0907452640476072
ENSG00000114127	XRN1	-0.4	0.293229098733731
ENSG00000114166	KAT2B	-0.5	0.171533324523036
ENSG00000114209	PDCD10	0.5	0.176867288987962
ENSG00000114268	PFKFB4	0.8	0.00751871368744522
ENSG00000114270	COL7A1	0.8	0.0884015934567611
ENSG00000114302	PRKAR2A	-0.2	0.530612123793252
ENSG00000114315	HES1	0.2	0.583873947503026
ENSG00000114316	USP4	0.4	0.0215899291762625
ENSG00000114331	ACAP2	-0.5	0.238322078246106
ENSG00000114346	ECT2	-0.4	0.414242507821778
ENSG00000114353	GNAI2	0.7	0.00785699419598417
ENSG00000114374	USP9Y	-0.1	0.837254908266322
ENSG00000114378	HYAL1	0.3	0.599948377734418
ENSG00000114383	TUSC2	0.6	0.0293835278619127
ENSG00000114388	NPRL2	0.3	0.202534989468418
ENSG00000114391	RPL24	1.1	0.00780447727111344
ENSG00000114395	CYB561D2	0.6	0.0761579263570458
ENSG00000114405	C3orf14	0.9	0.108900001109697
ENSG00000114416	FXR1	-0.3	0.379079920076469
ENSG00000114423	CBLB	-0.6	0.081186203465143
ENSG00000114439	BBX	-0.5	0.0768599624170065
ENSG00000114446	IFT57	-0.1	0.874108654830496
ENSG00000114450	GNB4	-0.1	0.782206078987796
ENSG00000114473	IQCG	-0.6	0.15857545623055
ENSG00000114491	UMPS	-0.2	0.566168330396372
ENSG00000114503	NCBP2	-0.4	0.0865734500602095
ENSG00000114520	SNX4	-0.1	0.843795424578695
ENSG00000114529	C3orf52	-0.5	0.161534038277443
ENSG00000114541	FRMD4B	-0.3	0.408199317002017
ENSG00000114544	SLC41A3	-0.1	0.531755199558519
ENSG00000114554	PLXNA1	-0.5	0.0101917312466445
ENSG00000114573	ATP6V1A	-0.2	0.570499686133449
ENSG00000114626	ABTB1	1.0	0.0241407950270025
ENSG00000114631	PODXL2	0.7	0.0751288400730307
ENSG00000114650	SCAP	0.5	0.102997338745858
ENSG00000114656	CFAP92	0.9	0.0241746627472742
ENSG00000114670	NEK11	0.1	0.842312106596641
ENSG00000114735	HEMK1	-0.4	0.0546526182014736
ENSG00000114737	CISH	-0.1	0.538826237772206
ENSG00000114738	MAPKAPK3	0.7	0.0134364519318546
ENSG00000114739	ACVR2B	-1.0	0.0102135555760139
ENSG00000114742	WDR48	0.1	0.748444569768994
ENSG00000114744	COMMD2	-0.4	0.255125447590733
ENSG00000114745	GORASP1	0.4	0.113838391943466
ENSG00000114767	RRP9	0.4	0.311172661398727
ENSG00000114770	ABCC5	-0.3	0.224627668036358
ENSG00000114779	ABHD14B	0.4	0.176270501577108
ENSG00000114784	EIF1B	0.2	0.308092258640728
ENSG00000114796	KLHL24	-0.5	0.108678411282226
ENSG00000114812	VIPR1	0.3	0.31978119757332
ENSG00000114841	DNAH1	-0.1	0.733173241385481
ENSG00000114853	ZBTB47	0.5	0.0928736637718084
ENSG00000114854	TNNC1	0.5	0.344298476499929
ENSG00000114857	NKTR	-0.9	0.0108902415119166
ENSG00000114859	CLCN2	-0.3	0.419018727967749
ENSG00000114867	EIF4G1	-0.3	0.0975032819317553
ENSG00000114902	SPCS1	0.4	0.097484473192755
ENSG00000114904	NEK4	-0.5	0.224457057518253
ENSG00000114923	SLC4A3	0.6	0.170010543755622
ENSG00000114933	INO80D	-0.8	0.0207450167688786
ENSG00000114942	EEF1B2	0.7	0.0255293636585308
ENSG00000114948	ADAM23	-0.7	0.119288102949001
ENSG00000114956	DGUOK	0.4	0.0885097901567503
ENSG00000114978	MOB1A	0.1	0.75306788613866
ENSG00000114982	KANSL3	-0.3	0.228365820558041
ENSG00000114988	LMAN2L	0.3	0.168602113830598
ENSG00000114993	RTKN	-0.4	0.336001303109679
ENSG00000114999	TTL	-0.3	0.230981035865805
ENSG00000115020	PIKFYVE	-0.9	0.0337832043270625
ENSG00000115042	FAHD2A	0.2	0.545151317127241
ENSG00000115073	ACTR1B	0.1	0.797629971450485
ENSG00000115084	SLC35F5	-0.8	0.017005458119912
ENSG00000115109	EPB41L5	-0.4	0.155461652585963
ENSG00000115112	TFCP2L1	0.2	0.675495032316071
ENSG00000115128	SF3B6	1.0	0.00155695589426036
ENSG00000115129	TP53I3	0.8	0.0264865682570123
ENSG00000115137	DNAJC27	-0.7	0.0883733915924845
ENSG00000115138	POMC	0.8	0.149358201305252
ENSG00000115145	STAM2	-0.1	0.703288963010394
ENSG00000115159	GPD2	-0.4	0.257419733652826
ENSG00000115165	CYTIP	0.1	0.672417474129856
ENSG00000115170	ACVR1	-0.6	0.0518204614907356
ENSG00000115204	MPV17	0.1	0.784866180607387
ENSG00000115211	EIF2B4	0.1	0.822351252894786
ENSG00000115216	NRBP1	0.5	0.0158430249189008
ENSG00000115232	ITGA4	-0.9	0.0619828043958079
ENSG00000115233	PSMD14	0.1	0.765105929008013
ENSG00000115234	SNX17	0.6	0.0182578658844684
ENSG00000115239	ASB3	-0.4	0.427502500113604
ENSG00000115241	PPM1G	0.3	0.116352596413164
ENSG00000115255	REEP6	0.6	0.14032170736273
ENSG00000115257	PCSK4	-0.5	0.358365308491628
ENSG00000115266	APC2	0.3	0.402245478842705
ENSG00000115267	IFIH1	0.1	0.794736061954065
ENSG00000115268	RPS15	0.8	0.0581671676649226
ENSG00000115271	GCA	0.2	0.663571786192817
ENSG00000115274	INO80B	0.8	0.0802767060354745
ENSG00000115275	MOGS	0.1	0.704650495906819
ENSG00000115286	NDUFS7	0.9	0.0421159655239427
ENSG00000115289	PCGF1	0.4	0.121833138265007
ENSG00000115295	CLIP4	-0.7	0.0822148011328083
ENSG00000115306	SPTBN1	-0.8	0.0201778179965552
ENSG00000115307	AUP1	0.6	0.0499435791783952
ENSG00000115310	RTN4	-0.3	0.425699368296716
ENSG00000115317	HTRA2	0.4	0.106517435378212
ENSG00000115318	LOXL3	0.2	0.599917407497211
ENSG00000115325	DOK1	0.8	0.0264865682570123
ENSG00000115339	GALNT3	-0.2	0.618838836067015
ENSG00000115350	POLE4	1.1	0.00890973358522172
ENSG00000115355	CCDC88A	-0.5	0.212970546913337
ENSG00000115364	MRPL19	-0.4	0.344346816944458
ENSG00000115365	LANCL1	-0.6	0.0596080568523303
ENSG00000115368	WDR75	-0.5	0.170153119890932
ENSG00000115392	FANCL	-0.4	0.445602180940862
ENSG00000115414	FN1	-0.6	0.234545285686049
ENSG00000115415	STAT1	0.2	0.637455535091535
ENSG00000115419	GLS	-0.8	0.0458354886902182
ENSG00000115421	PAPOLG	-0.6	0.0555814803357765
ENSG00000115423	DNAH6	-0.2	0.779370742635112
ENSG00000115425	PECR	-0.1	0.755381380215441
ENSG00000115457	IGFBP2	0.4	0.46755851434803
ENSG00000115459	ELMOD3	0.2	0.348540250353581
ENSG00000115464	USP34	-0.5	0.233053378453992
ENSG00000115468	EFHD1	-0.1	0.850196499737853
ENSG00000115484	CCT4	0.1	0.71160290616442
ENSG00000115486	GGCX	-0.1	0.675497829805295
ENSG00000115504	EHBP1	-0.3	0.405968829846018
ENSG00000115507	OTX1	0.7	0.0970451118339951
ENSG00000115514	TXNDC9	0.6	0.0727548349073345
ENSG00000115523	GNLY	0.6	0.166650860523763
ENSG00000115524	SF3B1	-0.5	0.194717933163336
ENSG00000115525	ST3GAL5	-0.4	0.116878644815136
ENSG00000115526	CHST10	-0.1	0.733173241385481
ENSG00000115539	PDCL3	0.1	0.763868217741478
ENSG00000115540	MOB4	-0.3	0.512508384146741
ENSG00000115541	HSPE1	0.4	0.200952647850785
ENSG00000115548	KDM3A	-0.4	0.330096092936727
ENSG00000115556	PLCD4	0.1	0.83803241698286
ENSG00000115561	CHMP3	0.6	0.00243201814268512
ENSG00000115568	ZNF142	-0.1	0.719796061811151
ENSG00000115590	IL1R2	1.2	0.003859524147823
ENSG00000115602	IL1RL1	0.1	0.859875054335727
ENSG00000115604	IL18R1	-0.4	0.203960457520329
ENSG00000115607	IL18RAP	0.6	0.181129019450232
ENSG00000115641	FHL2	0.2	0.631309110437221
ENSG00000115649	CNPPD1	0.4	0.11397140675152
ENSG00000115652	UXS1	-0.4	0.0622329446231518
ENSG00000115657	ABCB6	0.2	0.713489060877612
ENSG00000115661	STK16	0.8	0.0111567712967068
ENSG00000115677	HDLBP	0.4	0.00829224205810173
ENSG00000115685	PPP1R7	0.7	0.039355889518192
ENSG00000115687	PASK	-0.3	0.184589433184466
ENSG00000115694	STK25	0.2	0.301600506944812
ENSG00000115718	PROC	1.1	0.0345251105554152
ENSG00000115738	ID2	-0.2	0.533969631896986
ENSG00000115750	TAF1B	-0.1	0.708092050289992
ENSG00000115756	HPCAL1	0.5	0.0971026126507449
ENSG00000115758	ODC1	-0.2	0.522421592829834
ENSG00000115760	BIRC6	-0.5	0.175783121716866
ENSG00000115762	PLEKHB2	-0.1	0.732817446790492
ENSG00000115806	GORASP2	-0.1	0.631364639565108
ENSG00000115808	STRN	-0.5	0.126023173603118
ENSG00000115816	CEBPZ	-0.3	0.557915752149089
ENSG00000115825	PRKD3	-0.6	0.0897183867536234
ENSG00000115827	DCAF17	-0.6	0.0929932492859945
ENSG00000115828	QPCT	0.5	0.0786807599846894
ENSG00000115839	RAB3GAP1	-0.2	0.408331401417398
ENSG00000115840	SLC25A12	-0.2	0.409828346954254
ENSG00000115841	RMDN2	0.1	0.743792463354661
ENSG00000115866	DARS1	-0.3	0.246139446821215
ENSG00000115875	SRSF7	-0.5	0.0855872054227266
ENSG00000115896	PLCL1	-0.9	0.0555814803357765
ENSG00000115904	SOS1	-0.6	0.128476662364039
ENSG00000115919	KYNU	0.1	0.681082676933445
ENSG00000115935	WIPF1	-0.1	0.558769713083896
ENSG00000115942	ORC2	-0.4	0.220891427139547
ENSG00000115944	COX7A2L	0.4	0.0537059765234957
ENSG00000115946	PNO1	0.1	0.767793997330286
ENSG00000115956	PLEK	0.2	0.547640547457698
ENSG00000115966	ATF2	-0.8	0.0484035493395223
ENSG00000115970	THADA	0.1	0.440384049526986
ENSG00000115977	AAK1	-0.5	0.0259782140675759
ENSG00000115993	TRAK2	-0.3	0.24373013960161
ENSG00000115998	C2orf42	0.1	0.620393880706037
ENSG00000116001	TIA1	-0.6	0.13240631960794
ENSG00000116005	PCYOX1	-0.4	0.04914713241562
ENSG00000116014	KISS1R	0.4	0.437648666848662
ENSG00000116016	EPAS1	-0.2	0.688744002931763
ENSG00000116017	ARID3A	0.3	0.379951180921664
ENSG00000116030	SUMO1	0.4	0.172496641727247
ENSG00000116032	GRIN3B	0.1	0.886230132454214
ENSG00000116062	MSH6	-0.2	0.426899151267142
ENSG00000116095	PLEKHA3	-0.3	0.529656558431495
ENSG00000116096	SPR	0.8	0.0576044472709006
ENSG00000116106	EPHA4	-0.8	0.0374284740180344
ENSG00000116120	FARSB	0.1	0.684770745522293
ENSG00000116127	ALMS1	-0.3	0.354072890207295
ENSG00000116128	BCL9	-0.5	0.0183866657917235
ENSG00000116133	DHCR24	-0.3	0.379832324147629
ENSG00000116138	DNAJC16	-0.7	0.00905927263209431
ENSG00000116151	MORN1	0.3	0.43338923195128
ENSG00000116157	GPX7	-0.1	0.810084166613505
ENSG00000116161	CACYBP	0.1	0.691716320912209
ENSG00000116171	SCP2	-0.1	0.82240870750955
ENSG00000116191	RALGPS2	-0.9	0.0254282886401336
ENSG00000116198	CEP104	-0.6	0.0056859245959613
ENSG00000116199	FAM20B	-0.4	0.171048268430641
ENSG00000116205	TCEANC2	-0.1	0.80634158690589
ENSG00000116209	TMEM59	0.7	6.0670830675656E-4
ENSG00000116213	WRAP73	0.2	0.348979563074391
ENSG00000116221	MRPL37	0.4	0.121923578386199
ENSG00000116237	ICMT	0.1	0.705568866877399
ENSG00000116260	QSOX1	0.7	0.0389706560632526
ENSG00000116266	STXBP3	-0.5	0.176479201765662
ENSG00000116273	PHF13	-0.2	0.401802575303107
ENSG00000116288	PARK7	0.8	0.0108902415119166
ENSG00000116299	ELAPOR1	0.7	0.115770291375047
ENSG00000116337	AMPD2	0.7	0.0281445784197773
ENSG00000116350	SRSF4	-0.1	0.702602976344673
ENSG00000116353	MECR	0.4	0.15366782910847
ENSG00000116396	KCNC4	-0.6	0.0311248929586627
ENSG00000116406	EDEM3	-0.8	0.094439189497893
ENSG00000116455	WDR77	-0.2	0.16582159693832
ENSG00000116459	ATP5PB	0.6	0.0733156193810945
ENSG00000116489	CAPZA1	0.4	0.200184860956605
ENSG00000116497	S100PBP	-0.5	0.0556128296371274
ENSG00000116514	RNF19B	0.3	0.289546552431924
ENSG00000116521	SCAMP3	0.2	0.425699522218458
ENSG00000116539	ASH1L	-0.5	0.119288102949001
ENSG00000116544	DLGAP3	0.2	0.755196895393384
ENSG00000116560	SFPQ	-0.3	0.18403917649426
ENSG00000116574	RHOU	-0.6	0.148790087983919
ENSG00000116580	GON4L	-0.2	0.464241833319142
ENSG00000116584	ARHGEF2	0.3	0.179223376594705
ENSG00000116586	LAMTOR2	0.9	0.0246517910143293
ENSG00000116641	DOCK7	-0.5	0.134125403788334
ENSG00000116649	SRM	0.3	0.271727867824637
ENSG00000116661	FBXO2	-0.4	0.304253182755784
ENSG00000116663	FBXO6	0.4	0.345468220706548
ENSG00000116667	C1orf21	-0.1	0.756436441403948
ENSG00000116670	MAD2L2	0.9	0.0145565992643886
ENSG00000116675	DNAJC6	-0.7	0.138365992221458
ENSG00000116678	LEPR	-0.5	0.265592127011874
ENSG00000116679	IVNS1ABP	-0.4	0.193629299079786
ENSG00000116685	KIAA2013	0.8	0.0240625398379233
ENSG00000116688	MFN2	0.1	0.686488227577685
ENSG00000116690	PRG4	-0.9	0.0646287311494279
ENSG00000116691	MIIP	1.0	0.0171897028889736
ENSG00000116698	SMG7	0.1	0.720828839010807
ENSG00000116701	NCF2	0.7	0.00278364131709961
ENSG00000116704	SLC35D1	-0.5	0.11397140675152
ENSG00000116711	PLA2G4A	0.4	0.294806365529057
ENSG00000116717	GADD45A	0.1	0.717728605273293
ENSG00000116729	WLS	0.1	0.921978290074218
ENSG00000116731	PRDM2	-0.3	0.152134443982852
ENSG00000116741	RGS2	0.4	0.0783633778895662
ENSG00000116747	RO60	-0.6	0.110526063679279
ENSG00000116750	UCHL5	-0.3	0.478347392921609
ENSG00000116752	BCAS2	0.2	0.564823008085337
ENSG00000116754	SRSF11	-0.8	0.0310620658150333
ENSG00000116771	AGMAT	-0.1	0.868719973573095
ENSG00000116786	PLEKHM2	0.5	0.0564198576564227
ENSG00000116791	CRYZ	-0.4	0.400483271230812
ENSG00000116793	PHTF1	-0.1	0.757099119449773
ENSG00000116809	ZBTB17	0.6	0.0351189492468141
ENSG00000116819	TFAP2E	-0.3	0.206848625030039
ENSG00000116824	CD2	0.2	0.345470527594696
ENSG00000116830	TTF2	-1.0	0.0103212101068182
ENSG00000116852	KIF21B	-0.1	0.714005361954867
ENSG00000116857	TMEM9	0.4	0.283879273705201
ENSG00000116863	ADPRS	0.7	0.027280820031313
ENSG00000116871	MAP7D1	0.2	0.43076327440165
ENSG00000116883	ENSG00000116883	0.4	0.315922456272366
ENSG00000116898	MRPS15	0.4	0.0951451585658636
ENSG00000116903	EXOC8	-0.6	0.195959087445635
ENSG00000116906	GNPAT	-0.2	0.5625520565015
ENSG00000116918	TSNAX	-0.4	0.256876401243208
ENSG00000116922	C1orf109	-0.5	0.0904909373181277
ENSG00000116954	RRAGC	-0.1	0.642637698092133
ENSG00000116962	NID1	-0.6	0.229989869269453
ENSG00000116977	LGALS8	-0.2	0.529220243129746
ENSG00000116983	HPCAL4	-0.4	0.170153119890932
ENSG00000116984	MTR	-0.9	0.0299531660237573
ENSG00000116985	BMP8B	-0.1	0.718838097774481
ENSG00000116990	MYCL	-0.1	0.617982157271363
ENSG00000116991	SIPA1L2	-0.2	0.737218987142509
ENSG00000117000	RLF	-0.3	0.474972315794059
ENSG00000117010	ZNF684	-0.8	0.0877713602621218
ENSG00000117013	KCNQ4	-0.2	0.775568756063443
ENSG00000117016	RIMS3	-0.3	0.354215717470372
ENSG00000117020	AKT3	-0.6	0.0992676435175179
ENSG00000117036	ETV3	-0.5	0.143377198970597
ENSG00000117054	ACADM	-0.2	0.621859403988287
ENSG00000117090	SLAMF1	-0.3	0.227793143849485
ENSG00000117091	CD48	0.6	0.0105543114925084
ENSG00000117115	PADI2	0.3	0.417578109567393
ENSG00000117118	SDHB	0.5	0.0184245282767441
ENSG00000117133	RPF1	0.5	0.0477978317477689
ENSG00000117139	KDM5B	0.1	0.519057405477126
ENSG00000117143	UAP1	-0.4	0.293285182847099
ENSG00000117151	CTBS	0.1	0.767894729639436
ENSG00000117153	KLHL12	-0.1	0.884453898960616
ENSG00000117155	SSX2IP	-0.4	0.331510944368201
ENSG00000117174	ZNHIT6	-0.6	0.15857545623055
ENSG00000117226	GBP3	-0.5	0.262000266369617
ENSG00000117228	GBP1	0.2	0.746099031963347
ENSG00000117242	PINK1-AS	0.1	0.641840862194726
ENSG00000117262	GPR89A	-0.7	0.113277687308239
ENSG00000117266	CDK18	0.1	0.808522415196659
ENSG00000117280	RAB29	-0.3	0.298525327240436
ENSG00000117298	ECE1	0.2	0.612465975974404
ENSG00000117305	HMGCL	0.5	0.0543147889887679
ENSG00000117308	GALE	0.4	0.250321038745855
ENSG00000117318	ID3	0.1	0.824485703233889
ENSG00000117322	CR2	-0.8	0.0243329709791848
ENSG00000117335	CD46	-0.4	0.309880638566531
ENSG00000117362	APH1A	0.4	0.0326521303967853
ENSG00000117385	P3H1	0.1	0.596455012922762
ENSG00000117394	SLC2A1	-0.2	0.173900365671733
ENSG00000117395	EBNA1BP2	0.6	0.06952041456983
ENSG00000117399	CDC20	0.6	0.222682658271667
ENSG00000117408	IPO13	0.4	0.0653784589804194
ENSG00000117410	ATP6V0B	1.1	0.00941455131616717
ENSG00000117411	B4GALT2	0.4	0.309432067514785
ENSG00000117419	ERI3	0.6	0.0781360920279649
ENSG00000117425	PTCH2	-0.1	0.844158970433361
ENSG00000117448	AKR1A1	0.5	0.112055324468883
ENSG00000117450	PRDX1	0.9	0.00682502334284875
ENSG00000117461	PIK3R3	0.1	0.908965827660334
ENSG00000117475	BLZF1	-0.1	0.799257236547435
ENSG00000117479	SLC19A2	-1.1	0.0167717837710757
ENSG00000117480	FAAH	0.6	0.0546526182014736
ENSG00000117481	NSUN4	0.1	0.760503015885039
ENSG00000117500	TMED5	-0.5	0.165154938843742
ENSG00000117505	DR1	-0.4	0.103617883321838
ENSG00000117519	CNN3	-0.6	0.196662068557772
ENSG00000117523	PRRC2C	-0.4	0.100814260052591
ENSG00000117528	ABCD3	-0.7	0.0757441510413495
ENSG00000117533	VAMP4	-0.5	0.168343919187011
ENSG00000117543	DPH5	0.2	0.592234651152174
ENSG00000117560	FASLG	-0.4	0.310666549839883
ENSG00000117569	PTBP2	-0.8	0.0293860901607493
ENSG00000117586	TNFSF4	-0.1	0.889160629579483
ENSG00000117592	PRDX6	0.5	0.108561847392498
ENSG00000117593	DARS2	-0.3	0.166944477291589
ENSG00000117595	IRF6	0.2	0.688368834996724
ENSG00000117597	UTP25	-0.5	0.0500941017135286
ENSG00000117602	RCAN3	-0.8	0.00536209843315359
ENSG00000117614	SYF2	0.3	0.1535675209791
ENSG00000117616	RSRP1	-0.5	0.135666872804094
ENSG00000117620	SLC35A3	-1.1	0.00715485497299646
ENSG00000117625	RCOR3	-0.5	0.0897183867536234
ENSG00000117632	STMN1	0.2	0.417298034728408
ENSG00000117640	MTFR1L	0.3	0.0875734338908233
ENSG00000117643	MAN1C1	-0.5	0.0512564757815135
ENSG00000117676	RPS6KA1	0.7	0.00941455131616717
ENSG00000117682	DHDDS	0.3	0.16832909669554
ENSG00000117691	NENF	0.9	0.0241407950270025
ENSG00000117697	NSL1	0.1	0.640211782717186
ENSG00000117713	ARID1A	-0.5	0.0994438458731591
ENSG00000117724	CENPF	0.1	0.925725031563354
ENSG00000117748	RPA2	0.3	0.039355889518192
ENSG00000117751	PPP1R8	0.1	0.797630557261753
ENSG00000117758	STX12	-0.1	0.655224770243287
ENSG00000117834	SLC5A9	0.6	0.142387228985738
ENSG00000117862	TXNDC12	0.2	0.420930922237285
ENSG00000117868	ESYT2	-0.7	0.00363719346233631
ENSG00000117877	POLR1G	-0.3	0.4565986139968
ENSG00000117899	MESD	-0.2	0.405666091785582
ENSG00000117906	RCN2	-0.6	0.199629181451061
